function, us, ms
GL::Renderer::Renderer, 224, 0.224
GL::Renderer::init, 85254, 85.254
GL::Renderer::clear, 380, 0.38
GL::Renderer::update, 11406, 11.406
GL::Renderer::modelMatrix, 57, 0.057
GL::Renderer::viewMatrix, 67, 0.067
GL::Renderer::projectionMatrix, 65, 0.065
GL::Renderer::draw, 145570, 145.57
GL::Renderer::clear, 53, 0.053
GL::Renderer::update, 377, 0.377
GL::Renderer::modelMatrix, 20, 0.02
GL::Renderer::viewMatrix, 37, 0.037
GL::Renderer::projectionMatrix, 39, 0.039
GL::Renderer::draw, 52402, 52.402
GL::Renderer::clear, 203, 0.203
GL::Renderer::update, 183, 0.183
GL::Renderer::modelMatrix, 28, 0.028
GL::Renderer::viewMatrix, 37, 0.037
GL::Renderer::projectionMatrix, 36, 0.036
GL::Renderer::draw, 56833, 56.833
GL::Renderer::clear, 109, 0.109
GL::Renderer::update, 208, 0.208
GL::Renderer::modelMatrix, 24, 0.024
GL::Renderer::viewMatrix, 44, 0.044
GL::Renderer::projectionMatrix, 37, 0.037
GL::Renderer::draw, 51388, 51.388
GL::Renderer::clear, 99, 0.099
GL::Renderer::update, 178, 0.178
GL::Renderer::modelMatrix, 22, 0.022
GL::Renderer::viewMatrix, 38, 0.038
GL::Renderer::projectionMatrix, 46, 0.046
GL::Renderer::draw, 48174, 48.174
GL::Renderer::clear, 144, 0.144
GL::Renderer::update, 187, 0.187
GL::Renderer::modelMatrix, 28, 0.028
GL::Renderer::viewMatrix, 40, 0.04
GL::Renderer::projectionMatrix, 37, 0.037
GL::Renderer::draw, 53895, 53.895
GL::Renderer::clear, 70, 0.07
GL::Renderer::update, 180, 0.18
GL::Renderer::modelMatrix, 22, 0.022
GL::Renderer::viewMatrix, 59, 0.059
GL::Renderer::projectionMatrix, 42, 0.042
GL::Renderer::draw, 49749, 49.749
GL::Renderer::clear, 49, 0.049
GL::Renderer::update, 182, 0.182
GL::Renderer::modelMatrix, 24, 0.024
GL::Renderer::viewMatrix, 38, 0.038
GL::Renderer::projectionMatrix, 38, 0.038
GL::Renderer::draw, 49920, 49.92
GL::Renderer::clear, 131, 0.131
GL::Renderer::update, 468, 0.468
GL::Renderer::modelMatrix, 37, 0.037
GL::Renderer::viewMatrix, 47, 0.047
GL::Renderer::projectionMatrix, 46, 0.046
GL::Renderer::draw, 46851, 46.851
GL::Renderer::clear, 54, 0.054
GL::Renderer::update, 214, 0.214
GL::Renderer::modelMatrix, 27, 0.027
GL::Renderer::viewMatrix, 38, 0.038
GL::Renderer::projectionMatrix, 36, 0.036
GL::Renderer::draw, 59538, 59.538
GL::Renderer::clear, 129, 0.129
GL::Renderer::update, 188, 0.188
GL::Renderer::modelMatrix, 26, 0.026
GL::Renderer::viewMatrix, 41, 0.041
GL::Renderer::projectionMatrix, 40, 0.04
GL::Renderer::draw, 57299, 57.299
GL::Renderer::clear, 147, 0.147
GL::Renderer::update, 185, 0.185
GL::Renderer::modelMatrix, 22, 0.022
GL::Renderer::viewMatrix, 39, 0.039
GL::Renderer::projectionMatrix, 37, 0.037
GL::Renderer::draw, 47152, 47.152
GL::Renderer::clear, 138, 0.138
GL::Renderer::update, 221, 0.221
GL::Renderer::modelMatrix, 22, 0.022
GL::Renderer::viewMatrix, 46, 0.046
GL::Renderer::projectionMatrix, 37, 0.037
GL::Renderer::draw, 42725, 42.725
GL::Renderer::clear, 119, 0.119
GL::Renderer::update, 186, 0.186
GL::Renderer::modelMatrix, 23, 0.023
GL::Renderer::viewMatrix, 39, 0.039
GL::Renderer::projectionMatrix, 35, 0.035
GL::Renderer::draw, 44328, 44.328
GL::Renderer::clear, 140, 0.14
GL::Renderer::update, 180, 0.18
GL::Renderer::modelMatrix, 32, 0.032
GL::Renderer::viewMatrix, 41, 0.041
GL::Renderer::projectionMatrix, 44, 0.044
GL::Renderer::draw, 56258, 56.258
GL::Renderer::clear, 389, 0.389
GL::Renderer::update, 194, 0.194
GL::Renderer::modelMatrix, 25, 0.025
GL::Renderer::viewMatrix, 41, 0.041
GL::Renderer::projectionMatrix, 50, 0.05
GL::Renderer::draw, 39389, 39.389
GL::Renderer::clear, 52, 0.052
GL::Renderer::update, 210, 0.21
GL::Renderer::modelMatrix, 26, 0.026
GL::Renderer::viewMatrix, 39, 0.039
GL::Renderer::projectionMatrix, 44, 0.044
GL::Renderer::draw, 52975, 52.975
GL::Renderer::clear, 154, 0.154
GL::Renderer::update, 194, 0.194
GL::Renderer::modelMatrix, 27, 0.027
GL::Renderer::viewMatrix, 49, 0.049
GL::Renderer::projectionMatrix, 38, 0.038
GL::Renderer::draw, 40305, 40.305
GL::Renderer::clear, 134, 0.134
GL::Renderer::update, 186, 0.186
GL::Renderer::modelMatrix, 25, 0.025
GL::Renderer::viewMatrix, 36, 0.036
GL::Renderer::projectionMatrix, 36, 0.036
GL::Renderer::draw, 45901, 45.901
GL::Renderer::clear, 116, 0.116
GL::Renderer::update, 205, 0.205
GL::Renderer::modelMatrix, 23, 0.023
GL::Renderer::viewMatrix, 42, 0.042
GL::Renderer::projectionMatrix, 39, 0.039
GL::Renderer::draw, 44957, 44.957
GL::Renderer::clear, 77, 0.077
GL::Renderer::update, 227, 0.227
GL::Renderer::modelMatrix, 24, 0.024
GL::Renderer::viewMatrix, 45, 0.045
GL::Renderer::projectionMatrix, 46, 0.046
GL::Renderer::draw, 40960, 40.96
GL::Renderer::clear, 139, 0.139
GL::Renderer::update, 336, 0.336
GL::Renderer::modelMatrix, 28, 0.028
GL::Renderer::viewMatrix, 46, 0.046
GL::Renderer::projectionMatrix, 45, 0.045
GL::Renderer::draw, 58805, 58.805
GL::Renderer::clear, 122, 0.122
GL::Renderer::update, 240, 0.24
GL::Renderer::modelMatrix, 22, 0.022
GL::Renderer::viewMatrix, 45, 0.045
GL::Renderer::projectionMatrix, 38, 0.038
GL::Renderer::draw, 40611, 40.611
GL::Renderer::clear, 147, 0.147
GL::Renderer::update, 199, 0.199
GL::Renderer::modelMatrix, 21, 0.021
GL::Renderer::viewMatrix, 46, 0.046
GL::Renderer::projectionMatrix, 42, 0.042
GL::Renderer::draw, 42542, 42.542
GL::Renderer::clear, 109, 0.109
GL::Renderer::update, 194, 0.194
GL::Renderer::modelMatrix, 21, 0.021
GL::Renderer::viewMatrix, 46, 0.046
GL::Renderer::projectionMatrix, 37, 0.037
GL::Renderer::draw, 56148, 56.148
GL::Renderer::clear, 62, 0.062
GL::Renderer::update, 201, 0.201
GL::Renderer::modelMatrix, 28, 0.028
GL::Renderer::viewMatrix, 49, 0.049
GL::Renderer::projectionMatrix, 151, 0.151
GL::Renderer::draw, 59854, 59.854
GL::Renderer::clear, 47, 0.047
GL::Renderer::update, 199, 0.199
GL::Renderer::modelMatrix, 26, 0.026
GL::Renderer::viewMatrix, 41, 0.041
GL::Renderer::projectionMatrix, 42, 0.042
GL::Renderer::draw, 54519, 54.519
GL::Renderer::clear, 181, 0.181
GL::Renderer::update, 203, 0.203
GL::Renderer::modelMatrix, 23, 0.023
GL::Renderer::viewMatrix, 51, 0.051
GL::Renderer::projectionMatrix, 38, 0.038
GL::Renderer::draw, 56325, 56.325
GL::Renderer::clear, 60, 0.06
GL::Renderer::update, 189, 0.189
GL::Renderer::modelMatrix, 22, 0.022
GL::Renderer::viewMatrix, 35, 0.035
GL::Renderer::projectionMatrix, 39, 0.039
GL::Renderer::draw, 46119, 46.119
GL::Renderer::clear, 129, 0.129
GL::Renderer::update, 188, 0.188
GL::Renderer::modelMatrix, 22, 0.022
GL::Renderer::viewMatrix, 47, 0.047
GL::Renderer::projectionMatrix, 48, 0.048
GL::Renderer::draw, 38556, 38.556
GL::Renderer::clear, 197, 0.197
GL::Renderer::update, 185, 0.185
GL::Renderer::modelMatrix, 23, 0.023
GL::Renderer::viewMatrix, 38, 0.038
GL::Renderer::projectionMatrix, 36, 0.036
GL::Renderer::draw, 36320, 36.32
GL::Renderer::clear, 96, 0.096
GL::Renderer::update, 346, 0.346
GL::Renderer::modelMatrix, 22, 0.022
GL::Renderer::viewMatrix, 39, 0.039
GL::Renderer::projectionMatrix, 40, 0.04
GL::Renderer::draw, 32936, 32.936
GL::Renderer::clear, 122, 0.122
GL::Renderer::update, 198, 0.198
GL::Renderer::modelMatrix, 31, 0.031
GL::Renderer::viewMatrix, 48, 0.048
GL::Renderer::projectionMatrix, 48, 0.048
GL::Renderer::draw, 30141, 30.141
GL::Renderer::clear, 51, 0.051
GL::Renderer::update, 205, 0.205
GL::Renderer::modelMatrix, 27, 0.027
GL::Renderer::viewMatrix, 42, 0.042
GL::Renderer::projectionMatrix, 40, 0.04
GL::Renderer::draw, 29854, 29.854
GL::Renderer::clear, 108, 0.108
GL::Renderer::update, 224, 0.224
GL::Renderer::modelMatrix, 25, 0.025
GL::Renderer::viewMatrix, 40, 0.04
GL::Renderer::projectionMatrix, 37, 0.037
GL::Renderer::draw, 44313, 44.313
GL::Renderer::clear, 141, 0.141
GL::Renderer::update, 204, 0.204
GL::Renderer::modelMatrix, 23, 0.023
GL::Renderer::viewMatrix, 46, 0.046
GL::Renderer::projectionMatrix, 44, 0.044
GL::Renderer::draw, 28568, 28.568
GL::Renderer::clear, 131, 0.131
GL::Renderer::update, 183, 0.183
GL::Renderer::modelMatrix, 22, 0.022
GL::Renderer::viewMatrix, 36, 0.036
GL::Renderer::projectionMatrix, 39, 0.039
GL::Renderer::draw, 34412, 34.412
GL::Renderer::clear, 98, 0.098
GL::Renderer::update, 203, 0.203
GL::Renderer::modelMatrix, 27, 0.027
GL::Renderer::viewMatrix, 37, 0.037
GL::Renderer::projectionMatrix, 40, 0.04
GL::Renderer::draw, 28880, 28.88
GL::Renderer::clear, 134, 0.134
GL::Renderer::update, 254, 0.254
GL::Renderer::modelMatrix, 26, 0.026
GL::Renderer::viewMatrix, 37, 0.037
GL::Renderer::projectionMatrix, 39, 0.039
GL::Renderer::draw, 40936, 40.936
GL::Renderer::clear, 143, 0.143
GL::Renderer::update, 186, 0.186
GL::Renderer::modelMatrix, 28, 0.028
GL::Renderer::viewMatrix, 38, 0.038
GL::Renderer::projectionMatrix, 44, 0.044
GL::Renderer::draw, 29896, 29.896
GL::Renderer::clear, 85, 0.085
GL::Renderer::update, 212, 0.212
GL::Renderer::modelMatrix, 26, 0.026
GL::Renderer::viewMatrix, 36, 0.036
GL::Renderer::projectionMatrix, 39, 0.039
GL::Renderer::draw, 33232, 33.232
GL::Renderer::clear, 49, 0.049
GL::Renderer::update, 196, 0.196
GL::Renderer::modelMatrix, 24, 0.024
GL::Renderer::viewMatrix, 43, 0.043
GL::Renderer::projectionMatrix, 43, 0.043
GL::Renderer::draw, 32560, 32.56
GL::Renderer::clear, 36, 0.036
GL::Renderer::update, 196, 0.196
GL::Renderer::modelMatrix, 24, 0.024
GL::Renderer::viewMatrix, 49, 0.049
GL::Renderer::projectionMatrix, 44, 0.044
GL::Renderer::draw, 33229, 33.229
GL::Renderer::clear, 192, 0.192
GL::Renderer::update, 189, 0.189
GL::Renderer::modelMatrix, 24, 0.024
GL::Renderer::viewMatrix, 41, 0.041
GL::Renderer::projectionMatrix, 46, 0.046
GL::Renderer::draw, 29422, 29.422
GL::Renderer::clear, 80, 0.08
GL::Renderer::update, 196, 0.196
GL::Renderer::modelMatrix, 27, 0.027
GL::Renderer::viewMatrix, 42, 0.042
GL::Renderer::projectionMatrix, 40, 0.04
GL::Renderer::draw, 29083, 29.083
GL::Renderer::clear, 121, 0.121
GL::Renderer::update, 289, 0.289
GL::Renderer::modelMatrix, 34, 0.034
GL::Renderer::viewMatrix, 50, 0.05
GL::Renderer::projectionMatrix, 42, 0.042
GL::Renderer::draw, 29431, 29.431
GL::Renderer::clear, 140, 0.14
GL::Renderer::update, 194, 0.194
GL::Renderer::modelMatrix, 25, 0.025
GL::Renderer::viewMatrix, 39, 0.039
GL::Renderer::projectionMatrix, 42, 0.042
GL::Renderer::draw, 34637, 34.637
