Renderer, 37, 0.037
init, 5814, 5.814
clear, 8, 0.008
update, 2530, 2.53
modelMatrix, 9, 0.009
viewMatrix, 9, 0.009
projectionMatrix, 6, 0.006
draw, 9852, 9.852
clear, 4, 0.004
update, 30657, 30.657
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 31601, 31.601
clear, 5, 0.005
update, 10515, 10.515
modelMatrix, 4, 0.004
viewMatrix, 6, 0.006
projectionMatrix, 3, 0.003
draw, 11472, 11.472
clear, 4, 0.004
update, 15470, 15.47
modelMatrix, 4, 0.004
viewMatrix, 12, 0.012
projectionMatrix, 4, 0.004
draw, 16367, 16.367
clear, 3, 0.003
update, 13634, 13.634
modelMatrix, 4, 0.004
viewMatrix, 4, 0.004
projectionMatrix, 3, 0.003
draw, 14559, 14.559
clear, 3, 0.003
update, 15026, 15.026
modelMatrix, 3, 0.003
viewMatrix, 4, 0.004
projectionMatrix, 11, 0.011
draw, 15931, 15.931
clear, 3, 0.003
update, 15480, 15.48
modelMatrix, 3, 0.003
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 16395, 16.395
clear, 3, 0.003
update, 14626, 14.626
modelMatrix, 3, 0.003
viewMatrix, 4, 0.004
projectionMatrix, 3, 0.003
draw, 15522, 15.522
clear, 3, 0.003
update, 15000, 15
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 6, 0.006
draw, 16084, 16.084
clear, 3, 0.003
update, 14866, 14.866
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 3, 0.003
draw, 15881, 15.881
clear, 2, 0.002
update, 15196, 15.196
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 16274, 16.274
clear, 3, 0.003
update, 14314, 14.314
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 6, 0.006
draw, 15266, 15.266
clear, 3, 0.003
update, 14736, 14.736
modelMatrix, 3, 0.003
viewMatrix, 4, 0.004
projectionMatrix, 3, 0.003
draw, 15764, 15.764
clear, 4, 0.004
update, 14852, 14.852
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 7, 0.007
draw, 15908, 15.908
clear, 2, 0.002
update, 15509, 15.509
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 16465, 16.465
clear, 4, 0.004
update, 14918, 14.918
modelMatrix, 3, 0.003
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 15961, 15.961
addParticle, 1344, 1.344
clear, 5, 0.005
update, 169, 0.169
modelMatrix, 3, 0.003
viewMatrix, 4, 0.004
projectionMatrix, 7, 0.007
draw, 1116, 1.116
addParticle, 4, 0.004
clear, 3, 0.003
update, 4653, 4.653
modelMatrix, 2, 0.002
viewMatrix, 7, 0.007
projectionMatrix, 3, 0.003
draw, 5634, 5.634
addParticle, 97, 0.097
clear, 3, 0.003
update, 1121, 1.121
modelMatrix, 2, 0.002
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 2062, 2.062
addParticle, 5, 0.005
clear, 3, 0.003
update, 12463, 12.463
modelMatrix, 4, 0.004
viewMatrix, 7, 0.007
projectionMatrix, 12, 0.012
draw, 13536, 13.536
addParticle, 620, 0.62
clear, 2, 0.002
update, 448, 0.448
modelMatrix, 3, 0.003
viewMatrix, 6, 0.006
projectionMatrix, 6, 0.006
draw, 1664, 1.664
addParticle, 3, 0.003
clear, 2, 0.002
update, 1127, 1.127
modelMatrix, 2, 0.002
viewMatrix, 7, 0.007
projectionMatrix, 3, 0.003
draw, 2029, 2.029
addParticle, 95, 0.095
clear, 4, 0.004
update, 91, 0.091
modelMatrix, 5, 0.005
viewMatrix, 3, 0.003
projectionMatrix, 5, 0.005
draw, 1371, 1.371
addParticle, 4, 0.004
clear, 2, 0.002
update, 1291, 1.291
modelMatrix, 2, 0.002
viewMatrix, 3, 0.003
projectionMatrix, 3, 0.003
draw, 2365, 2.365
addParticle, 698, 0.698
clear, 3, 0.003
update, 476, 0.476
modelMatrix, 2, 0.002
viewMatrix, 5, 0.005
projectionMatrix, 5, 0.005
draw, 1411, 1.411
addParticle, 3203, 3.203
clear, 2, 0.002
update, 85, 0.085
modelMatrix, 4, 0.004
viewMatrix, 4, 0.004
projectionMatrix, 3, 0.003
draw, 1118, 1.118
addParticle, 2982, 2.982
clear, 3, 0.003
update, 79, 0.079
modelMatrix, 2, 0.002
viewMatrix, 3, 0.003
projectionMatrix, 5, 0.005
draw, 1141, 1.141
addParticle, 1455, 1.455
clear, 2, 0.002
update, 105, 0.105
modelMatrix, 10, 0.01
viewMatrix, 7, 0.007
projectionMatrix, 6, 0.006
