Renderer, 35, 0.035
init, 6024, 6.024
clear, 8, 0.008
update, 482, 0.482
modelMatrix, 10, 0.01
viewMatrix, 8, 0.008
projectionMatrix, 6, 0.006
draw, 8316, 8.316
clear, 6, 0.006
update, 516, 0.516
modelMatrix, 5, 0.005
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 1450, 1.45
clear, 6, 0.006
update, 1624, 1.624
modelMatrix, 5, 0.005
viewMatrix, 6, 0.006
projectionMatrix, 3, 0.003
draw, 2534, 2.534
clear, 6, 0.006
update, 712, 0.712
modelMatrix, 5, 0.005
viewMatrix, 6, 0.006
projectionMatrix, 10, 0.01
draw, 19116, 19.116
clear, 3, 0.003
update, 530, 0.53
modelMatrix, 2, 0.002
viewMatrix, 4, 0.004
projectionMatrix, 3, 0.003
draw, 1512, 1.512
clear, 3, 0.003
update, 596, 0.596
modelMatrix, 4, 0.004
viewMatrix, 4, 0.004
projectionMatrix, 4, 0.004
draw, 1722, 1.722
clear, 5, 0.005
update, 688, 0.688
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 3, 0.003
draw, 1623, 1.623
clear, 11, 0.011
update, 739, 0.739
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 3, 0.003
draw, 1630, 1.63
clear, 3, 0.003
update, 577, 0.577
modelMatrix, 1, 0.001
viewMatrix, 3, 0.003
projectionMatrix, 3, 0.003
draw, 1446, 1.446
clear, 4, 0.004
update, 769, 0.769
modelMatrix, 3, 0.003
viewMatrix, 4, 0.004
projectionMatrix, 3, 0.003
draw, 1666, 1.666
clear, 3, 0.003
update, 601, 0.601
modelMatrix, 2, 0.002
viewMatrix, 3, 0.003
projectionMatrix, 3, 0.003
draw, 1474, 1.474
clear, 3, 0.003
update, 814, 0.814
modelMatrix, 2, 0.002
viewMatrix, 11, 0.011
projectionMatrix, 3, 0.003
draw, 1705, 1.705
clear, 3, 0.003
update, 611, 0.611
modelMatrix, 2, 0.002
viewMatrix, 2, 0.002
projectionMatrix, 5, 0.005
draw, 1918, 1.918
clear, 3, 0.003
update, 604, 0.604
modelMatrix, 2, 0.002
viewMatrix, 3, 0.003
projectionMatrix, 3, 0.003
draw, 1505, 1.505
clear, 3, 0.003
update, 855, 0.855
modelMatrix, 3, 0.003
viewMatrix, 3, 0.003
projectionMatrix, 3, 0.003
draw, 1731, 1.731
clear, 5, 0.005
update, 507, 0.507
modelMatrix, 3, 0.003
viewMatrix, 8, 0.008
projectionMatrix, 3, 0.003
draw, 1668, 1.668
clear, 3, 0.003
update, 593, 0.593
modelMatrix, 2, 0.002
viewMatrix, 6, 0.006
projectionMatrix, 6, 0.006
draw, 1646, 1.646
clear, 3, 0.003
update, 858, 0.858
modelMatrix, 2, 0.002
viewMatrix, 5, 0.005
projectionMatrix, 3, 0.003
draw, 1845, 1.845
clear, 2, 0.002
update, 616, 0.616
modelMatrix, 2, 0.002
viewMatrix, 3, 0.003
projectionMatrix, 3, 0.003
draw, 1569, 1.569
clear, 6, 0.006
update, 516, 0.516
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 1459, 1.459
clear, 3, 0.003
update, 618, 0.618
modelMatrix, 2, 0.002
viewMatrix, 6, 0.006
projectionMatrix, 3, 0.003
draw, 1606, 1.606
clear, 2, 0.002
update, 631, 0.631
modelMatrix, 3, 0.003
viewMatrix, 12, 0.012
projectionMatrix, 3, 0.003
draw, 1585, 1.585
clear, 2, 0.002
update, 657, 0.657
modelMatrix, 2, 0.002
viewMatrix, 6, 0.006
projectionMatrix, 3, 0.003
draw, 1622, 1.622
clear, 3, 0.003
update, 642, 0.642
modelMatrix, 2, 0.002
viewMatrix, 3, 0.003
projectionMatrix, 5, 0.005
draw, 1542, 1.542
clear, 3, 0.003
update, 665, 0.665
modelMatrix, 2, 0.002
viewMatrix, 6, 0.006
projectionMatrix, 3, 0.003
draw, 1650, 1.65
clear, 3, 0.003
update, 628, 0.628
modelMatrix, 2, 0.002
viewMatrix, 3, 0.003
projectionMatrix, 4, 0.004
draw, 1518, 1.518
clear, 3, 0.003
update, 590, 0.59
modelMatrix, 2, 0.002
viewMatrix, 2, 0.002
projectionMatrix, 4, 0.004
draw, 1413, 1.413
clear, 3, 0.003
update, 614, 0.614
modelMatrix, 2, 0.002
viewMatrix, 2, 0.002
projectionMatrix, 4, 0.004
draw, 1533, 1.533
clear, 2, 0.002
update, 610, 0.61
modelMatrix, 2, 0.002
viewMatrix, 4, 0.004
projectionMatrix, 4, 0.004
draw, 1553, 1.553
clear, 2, 0.002
update, 647, 0.647
modelMatrix, 2, 0.002
viewMatrix, 4, 0.004
projectionMatrix, 3, 0.003
draw, 2398, 2.398
clear, 3, 0.003
update, 583, 0.583
modelMatrix, 3, 0.003
viewMatrix, 4, 0.004
projectionMatrix, 4, 0.004
draw, 1726, 1.726
clear, 3, 0.003
update, 593, 0.593
modelMatrix, 3, 0.003
viewMatrix, 4, 0.004
projectionMatrix, 4, 0.004
draw, 1473, 1.473
clear, 3, 0.003
update, 608, 0.608
modelMatrix, 5, 0.005
viewMatrix, 5, 0.005
projectionMatrix, 3, 0.003
draw, 42809, 42.809
clear, 10, 0.01
update, 506, 0.506
modelMatrix, 2, 0.002
viewMatrix, 3, 0.003
projectionMatrix, 6, 0.006
draw, 1472, 1.472
clear, 4, 0.004
update, 891, 0.891
modelMatrix, 3, 0.003
viewMatrix, 3, 0.003
projectionMatrix, 3, 0.003
draw, 1723, 1.723
clear, 3, 0.003
update, 868, 0.868
modelMatrix, 2, 0.002
viewMatrix, 3, 0.003
projectionMatrix, 3, 0.003
draw, 1721, 1.721
clear, 5, 0.005
update, 907, 0.907
modelMatrix, 4, 0.004
viewMatrix, 4, 0.004
projectionMatrix, 3, 0.003
draw, 1740, 1.74
clear, 3, 0.003
update, 948, 0.948
modelMatrix, 4, 0.004
viewMatrix, 22, 0.022
projectionMatrix, 4, 0.004
draw, 3017, 3.017
clear, 3, 0.003
update, 628, 0.628
modelMatrix, 1, 0.001
viewMatrix, 3, 0.003
projectionMatrix, 6, 0.006
draw, 1543, 1.543
clear, 4, 0.004
update, 1001, 1.001
modelMatrix, 3, 0.003
viewMatrix, 4, 0.004
projectionMatrix, 3, 0.003
draw, 1923, 1.923
clear, 4, 0.004
update, 723, 0.723
modelMatrix, 3, 0.003
viewMatrix, 3, 0.003
projectionMatrix, 12, 0.012
draw, 1734, 1.734
addParticle, 199, 0.199
clear, 4, 0.004
update, 654, 0.654
modelMatrix, 5, 0.005
viewMatrix, 4, 0.004
projectionMatrix, 2, 0.002
draw, 2136, 2.136
addParticle, 488, 0.488
clear, 2, 0.002
update, 865, 0.865
modelMatrix, 3, 0.003
viewMatrix, 4, 0.004
projectionMatrix, 3, 0.003
draw, 2313, 2.313
addParticle, 468, 0.468
clear, 3, 0.003
update, 1029, 1.029
modelMatrix, 2, 0.002
viewMatrix, 4, 0.004
projectionMatrix, 4, 0.004
draw, 2693, 2.693
addParticle, 742, 0.742
clear, 5, 0.005
update, 1258, 1.258
modelMatrix, 4, 0.004
viewMatrix, 6, 0.006
projectionMatrix, 8, 0.008
draw, 34188, 34.188
addParticle, 464, 0.464
clear, 3, 0.003
update, 1490, 1.49
modelMatrix, 2, 0.002
viewMatrix, 4, 0.004
projectionMatrix, 5, 0.005
draw, 2453, 2.453
addParticle, 698, 0.698
clear, 3, 0.003
update, 1721, 1.721
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 3, 0.003
draw, 2701, 2.701
addParticle, 471, 0.471
clear, 2, 0.002
update, 1840, 1.84
modelMatrix, 3, 0.003
viewMatrix, 4, 0.004
projectionMatrix, 13, 0.013
draw, 2786, 2.786
addParticle, 794, 0.794
clear, 14, 0.014
update, 2097, 2.097
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 3047, 3.047
addParticle, 382, 0.382
clear, 3, 0.003
update, 2189, 2.189
modelMatrix, 3, 0.003
viewMatrix, 4, 0.004
projectionMatrix, 4, 0.004
draw, 3166, 3.166
addParticle, 722, 0.722
clear, 5, 0.005
update, 2520, 2.52
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 3, 0.003
draw, 3431, 3.431
addParticle, 393, 0.393
clear, 5, 0.005
update, 2781, 2.781
modelMatrix, 6, 0.006
viewMatrix, 5, 0.005
projectionMatrix, 5, 0.005
draw, 3788, 3.788
addParticle, 750, 0.75
clear, 6, 0.006
update, 3014, 3.014
modelMatrix, 5, 0.005
viewMatrix, 8, 0.008
projectionMatrix, 6, 0.006
draw, 4908, 4.908
addParticle, 379, 0.379
clear, 4, 0.004
update, 3027, 3.027
modelMatrix, 3, 0.003
viewMatrix, 4, 0.004
projectionMatrix, 4, 0.004
draw, 3988, 3.988
addParticle, 1373, 1.373
clear, 4, 0.004
update, 3310, 3.31
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 3, 0.003
draw, 4148, 4.148
addParticle, 425, 0.425
clear, 4, 0.004
update, 3275, 3.275
modelMatrix, 3, 0.003
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 4147, 4.147
addParticle, 527, 0.527
clear, 6, 0.006
update, 3704, 3.704
modelMatrix, 12, 0.012
viewMatrix, 5, 0.005
projectionMatrix, 3, 0.003
draw, 5202, 5.202
addParticle, 421, 0.421
clear, 3, 0.003
update, 3643, 3.643
modelMatrix, 3, 0.003
viewMatrix, 4, 0.004
projectionMatrix, 3, 0.003
draw, 4962, 4.962
addParticle, 984, 0.984
clear, 5, 0.005
update, 3950, 3.95
