Renderer, 35, 0.035
init, 49273, 49.273
clear, 23, 0.023
update, 41645, 41.645
modelMatrix, 23, 0.023
viewMatrix, 11, 0.011
projectionMatrix, 7, 0.007
draw, 44399, 44.399
clear, 37, 0.037
update, 2401, 2.401
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 6, 0.006
draw, 2913, 2.913
clear, 18, 0.018
update, 2279, 2.279
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 2655, 2.655
clear, 11, 0.011
update, 1350, 1.35
modelMatrix, 3, 0.003
viewMatrix, 5, 0.005
projectionMatrix, 8, 0.008
draw, 1822, 1.822
clear, 13, 0.013
update, 1073, 1.073
modelMatrix, 3, 0.003
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 1481, 1.481
clear, 9, 0.009
update, 2147, 2.147
modelMatrix, 3, 0.003
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 2564, 2.564
clear, 24, 0.024
update, 9510, 9.51
modelMatrix, 6, 0.006
viewMatrix, 8, 0.008
projectionMatrix, 6, 0.006
draw, 10163, 10.163
clear, 13, 0.013
update, 2669, 2.669
modelMatrix, 9, 0.009
viewMatrix, 11, 0.011
projectionMatrix, 8, 0.008
draw, 3580, 3.58
clear, 9, 0.009
update, 1008, 1.008
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 1438, 1.438
clear, 9, 0.009
update, 2070, 2.07
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 5, 0.005
draw, 2576, 2.576
clear, 23, 0.023
update, 7735, 7.735
modelMatrix, 10, 0.01
viewMatrix, 12, 0.012
projectionMatrix, 6, 0.006
draw, 8442, 8.442
clear, 17, 0.017
update, 12395, 12.395
modelMatrix, 5, 0.005
viewMatrix, 8, 0.008
projectionMatrix, 5, 0.005
draw, 13011, 13.011
clear, 11, 0.011
update, 39160, 39.16
modelMatrix, 11, 0.011
viewMatrix, 25, 0.025
projectionMatrix, 21, 0.021
draw, 40129, 40.129
clear, 17, 0.017
update, 22961, 22.961
modelMatrix, 10, 0.01
viewMatrix, 6, 0.006
projectionMatrix, 4, 0.004
draw, 23520, 23.52
clear, 14, 0.014
update, 26830, 26.83
modelMatrix, 11, 0.011
viewMatrix, 26, 0.026
projectionMatrix, 18, 0.018
draw, 27820, 27.82
clear, 19, 0.019
update, 30597, 30.597
modelMatrix, 5, 0.005
viewMatrix, 7, 0.007
projectionMatrix, 9, 0.009
draw, 31545, 31.545
clear, 22, 0.022
update, 11241, 11.241
modelMatrix, 5, 0.005
viewMatrix, 12, 0.012
projectionMatrix, 6, 0.006
draw, 12028, 12.028
clear, 16, 0.016
update, 1518, 1.518
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 1925, 1.925
addParticle, 3573, 3.573
clear, 14, 0.014
update, 2489, 2.489
modelMatrix, 4, 0.004
viewMatrix, 6, 0.006
projectionMatrix, 4, 0.004
draw, 2936, 2.936
addParticle, 3197, 3.197
clear, 7, 0.007
update, 1170, 1.17
modelMatrix, 5, 0.005
viewMatrix, 6, 0.006
projectionMatrix, 4, 0.004
draw, 1667, 1.667
addParticle, 3325, 3.325
clear, 7, 0.007
update, 1101, 1.101
modelMatrix, 10, 0.01
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 1583, 1.583
addParticle, 3234, 3.234
clear, 7, 0.007
update, 1553, 1.553
modelMatrix, 4, 0.004
viewMatrix, 10, 0.01
projectionMatrix, 9, 0.009
draw, 2286, 2.286
addParticle, 3551, 3.551
clear, 7, 0.007
update, 887, 0.887
modelMatrix, 3, 0.003
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 1268, 1.268
addParticle, 3431, 3.431
clear, 7, 0.007
update, 901, 0.901
modelMatrix, 3, 0.003
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 1286, 1.286
addParticle, 3349, 3.349
clear, 12, 0.012
update, 992, 0.992
modelMatrix, 3, 0.003
viewMatrix, 6, 0.006
projectionMatrix, 4, 0.004
draw, 1393, 1.393
addParticle, 3403, 3.403
clear, 7, 0.007
update, 1057, 1.057
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 5, 0.005
draw, 1482, 1.482
addParticle, 3475, 3.475
clear, 48, 0.048
update, 2381, 2.381
modelMatrix, 3, 0.003
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 2806, 2.806
addParticle, 3611, 3.611
clear, 7, 0.007
update, 1047, 1.047
modelMatrix, 3, 0.003
viewMatrix, 5, 0.005
projectionMatrix, 5, 0.005
draw, 1586, 1.586
addParticle, 3523, 3.523
clear, 7, 0.007
update, 1063, 1.063
modelMatrix, 4, 0.004
viewMatrix, 6, 0.006
projectionMatrix, 4, 0.004
draw, 1459, 1.459
addParticle, 3306, 3.306
clear, 7, 0.007
update, 1094, 1.094
modelMatrix, 3, 0.003
viewMatrix, 4, 0.004
projectionMatrix, 6, 0.006
draw, 1546, 1.546
addParticle, 3325, 3.325
clear, 8, 0.008
update, 1168, 1.168
modelMatrix, 4, 0.004
viewMatrix, 6, 0.006
projectionMatrix, 5, 0.005
draw, 1595, 1.595
addParticle, 3421, 3.421
clear, 7, 0.007
update, 1173, 1.173
modelMatrix, 4, 0.004
viewMatrix, 6, 0.006
projectionMatrix, 5, 0.005
draw, 1634, 1.634
addParticle, 6364, 6.364
clear, 83, 0.083
update, 3201, 3.201
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 3599, 3.599
addParticle, 3388, 3.388
clear, 7, 0.007
update, 1197, 1.197
modelMatrix, 3, 0.003
viewMatrix, 5, 0.005
projectionMatrix, 5, 0.005
draw, 1682, 1.682
addParticle, 4586, 4.586
clear, 7, 0.007
update, 1333, 1.333
modelMatrix, 5, 0.005
viewMatrix, 7, 0.007
projectionMatrix, 6, 0.006
draw, 1879, 1.879
addParticle, 3817, 3.817
clear, 7, 0.007
update, 1230, 1.23
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 1665, 1.665
addParticle, 5721, 5.721
clear, 7, 0.007
update, 1341, 1.341
modelMatrix, 4, 0.004
viewMatrix, 7, 0.007
projectionMatrix, 6, 0.006
draw, 1908, 1.908
addParticle, 3758, 3.758
clear, 8, 0.008
update, 1304, 1.304
modelMatrix, 5, 0.005
viewMatrix, 6, 0.006
projectionMatrix, 6, 0.006
draw, 1822, 1.822
addParticle, 6700, 6.7
clear, 22, 0.022
update, 3114, 3.114
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
