Function,us,ms
Renderer,35,0.035
init,48648,48.648
clear,23,0.023
update,2813,2.813
modelMatrix,19,0.019
viewMatrix,9,0.009
projectionMatrix,7,0.007
draw,5109,5.109
clear,10,0.01
update,2149,2.149
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,2574,2.574
clear,27,0.027
update,2392,2.392
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,2841,2.841
clear,12,0.012
update,2060,2.06
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,2501,2.501
clear,8,0.008
update,1825,1.825
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,2259,2.259
clear,9,0.009
update,1669,1.669
modelMatrix,3,0.003
viewMatrix,4,0.004
projectionMatrix,4,0.004
draw,2055,2.055
clear,8,0.008
update,1893,1.893
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,2357,2.357
clear,9,0.009
update,1755,1.755
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,2231,2.231
clear,13,0.013
update,1965,1.965
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,2380,2.38
clear,14,0.014
update,1241,1.241
modelMatrix,4,0.004
viewMatrix,6,0.006
projectionMatrix,4,0.004
draw,1618,1.618
clear,10,0.01
update,1683,1.683
modelMatrix,4,0.004
viewMatrix,4,0.004
projectionMatrix,4,0.004
draw,2099,2.099
clear,15,0.015
update,9860,9.86
modelMatrix,5,0.005
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,10351,10.351
clear,11,0.011
update,2324,2.324
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,20,0.02
draw,3025,3.025
clear,11,0.011
update,1956,1.956
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,2377,2.377
clear,9,0.009
update,1885,1.885
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,2330,2.33
clear,10,0.01
update,3524,3.524
modelMatrix,4,0.004
viewMatrix,4,0.004
projectionMatrix,4,0.004
draw,3989,3.989
clear,28,0.028
update,16538,16.538
modelMatrix,16,0.016
viewMatrix,13,0.013
projectionMatrix,4,0.004
draw,17178,17.178
clear,22,0.022
update,35179,35.179
modelMatrix,27,0.027
viewMatrix,21,0.021
projectionMatrix,8,0.008
draw,36215,36.215
clear,12,0.012
update,18996,18.996
modelMatrix,8,0.008
viewMatrix,12,0.012
projectionMatrix,9,0.009
draw,19798,19.798
clear,81,0.081
update,25843,25.843
modelMatrix,9,0.009
viewMatrix,6,0.006
projectionMatrix,5,0.005
draw,26519,26.519
clear,10,0.01
update,28308,28.308
modelMatrix,11,0.011
viewMatrix,14,0.014
projectionMatrix,8,0.008
draw,29129,29.129
clear,15,0.015
update,1265,1.265
modelMatrix,5,0.005
viewMatrix,6,0.006
projectionMatrix,5,0.005
draw,1776,1.776
clear,8,0.008
update,1528,1.528
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,1971,1.971
clear,11,0.011
update,1279,1.279
modelMatrix,5,0.005
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,1717,1.717
clear,24,0.024
update,1457,1.457
modelMatrix,4,0.004
viewMatrix,7,0.007
projectionMatrix,7,0.007
draw,2036,2.036
clear,12,0.012
update,2287,2.287
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,2761,2.761
clear,10,0.01
update,1683,1.683
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,2119,2.119
clear,10,0.01
update,1681,1.681
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,2119,2.119
clear,9,0.009
update,1139,1.139
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,1550,1.55
clear,8,0.008
update,1901,1.901
modelMatrix,4,0.004
viewMatrix,7,0.007
projectionMatrix,5,0.005
draw,2435,2.435
clear,9,0.009
update,1669,1.669
modelMatrix,3,0.003
viewMatrix,4,0.004
projectionMatrix,4,0.004
draw,2120,2.12
clear,9,0.009
update,1019,1.019
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,1438,1.438
clear,11,0.011
update,1702,1.702
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,2227,2.227
clear,8,0.008
update,958,0.958
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,1380,1.38
clear,9,0.009
update,1654,1.654
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,7,0.007
draw,2284,2.284
clear,8,0.008
update,1757,1.757
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,2212,2.212
clear,9,0.009
update,994,0.994
modelMatrix,3,0.003
viewMatrix,4,0.004
projectionMatrix,4,0.004
draw,1358,1.358
clear,9,0.009
update,1538,1.538
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,1931,1.931
clear,8,0.008
update,1723,1.723
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,2186,2.186
clear,10,0.01
update,1003,1.003
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,1421,1.421
clear,9,0.009
update,946,0.946
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,1379,1.379
clear,7,0.007
update,1037,1.037
modelMatrix,4,0.004
viewMatrix,4,0.004
projectionMatrix,5,0.005
draw,1451,1.451
clear,9,0.009
update,1904,1.904
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,2332,2.332
clear,9,0.009
update,1649,1.649
modelMatrix,3,0.003
viewMatrix,4,0.004
projectionMatrix,4,0.004
draw,2037,2.037
clear,21,0.021
update,997,0.997
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,1405,1.405
clear,9,0.009
update,1670,1.67
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,2130,2.13
clear,9,0.009
update,1553,1.553
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,1939,1.939
clear,9,0.009
update,995,0.995
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,1358,1.358
clear,9,0.009
update,1699,1.699
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,9,0.009
draw,2351,2.351
clear,14,0.014
update,1507,1.507
modelMatrix,4,0.004
viewMatrix,6,0.006
projectionMatrix,5,0.005
draw,1995,1.995
clear,10,0.01
update,999,0.999
modelMatrix,3,0.003
viewMatrix,4,0.004
projectionMatrix,4,0.004
draw,1412,1.412
clear,9,0.009
update,1704,1.704
modelMatrix,4,0.004
viewMatrix,6,0.006
projectionMatrix,5,0.005
draw,2234,2.234
clear,9,0.009
update,1581,1.581
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,2015,2.015
clear,11,0.011
update,1065,1.065
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,1453,1.453
clear,10,0.01
update,1816,1.816
modelMatrix,4,0.004
viewMatrix,4,0.004
projectionMatrix,4,0.004
draw,2354,2.354
clear,16,0.016
update,1424,1.424
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,1825,1.825
clear,14,0.014
update,816,0.816
modelMatrix,4,0.004
viewMatrix,4,0.004
projectionMatrix,4,0.004
draw,1209,1.209
clear,9,0.009
update,1947,1.947
modelMatrix,11,0.011
viewMatrix,11,0.011
projectionMatrix,7,0.007
draw,2842,2.842
clear,9,0.009
update,1588,1.588
modelMatrix,6,0.006
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,2205,2.205
clear,9,0.009
update,1131,1.131
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,1620,1.62
clear,8,0.008
update,1730,1.73
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,2097,2.097
clear,8,0.008
update,1148,1.148
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,1640,1.64
clear,16,0.016
update,1857,1.857
modelMatrix,4,0.004
viewMatrix,6,0.006
projectionMatrix,4,0.004
draw,2301,2.301
clear,10,0.01
update,1958,1.958
modelMatrix,18,0.018
viewMatrix,4,0.004
projectionMatrix,4,0.004
draw,2517,2.517
clear,9,0.009
update,1590,1.59
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,2064,2.064
clear,10,0.01
update,1560,1.56
modelMatrix,4,0.004
viewMatrix,6,0.006
projectionMatrix,4,0.004
draw,2087,2.087
clear,9,0.009
update,2047,2.047
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,2496,2.496
clear,10,0.01
update,1270,1.27
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,1740,1.74
clear,9,0.009
update,1728,1.728
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,2146,2.146
clear,8,0.008
update,1266,1.266
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,1698,1.698
clear,9,0.009
update,1849,1.849
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,2278,2.278
clear,9,0.009
update,1325,1.325
modelMatrix,3,0.003
viewMatrix,4,0.004
projectionMatrix,4,0.004
draw,1701,1.701
clear,8,0.008
update,1971,1.971
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,2386,2.386
clear,8,0.008
update,1822,1.822
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,2299,2.299
clear,10,0.01
update,1281,1.281
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,1738,1.738
clear,9,0.009
update,1644,1.644
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,2098,2.098
clear,8,0.008
update,1848,1.848
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,2303,2.303
clear,9,0.009
update,1389,1.389
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,1809,1.809
clear,9,0.009
update,1848,1.848
modelMatrix,4,0.004
viewMatrix,6,0.006
projectionMatrix,5,0.005
draw,2302,2.302
clear,8,0.008
update,1316,1.316
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,1763,1.763
clear,10,0.01
update,2229,2.229
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,2707,2.707
clear,9,0.009
update,1819,1.819
modelMatrix,4,0.004
viewMatrix,6,0.006
projectionMatrix,5,0.005
draw,2291,2.291
clear,8,0.008
update,1275,1.275
modelMatrix,3,0.003
viewMatrix,4,0.004
projectionMatrix,4,0.004
draw,1675,1.675
clear,8,0.008
update,1904,1.904
modelMatrix,7,0.007
viewMatrix,10,0.01
projectionMatrix,8,0.008
draw,2658,2.658
clear,8,0.008
update,1109,1.109
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,1496,1.496
clear,9,0.009
update,1328,1.328
modelMatrix,3,0.003
viewMatrix,4,0.004
projectionMatrix,5,0.005
draw,1715,1.715
clear,8,0.008
update,1903,1.903
modelMatrix,6,0.006
viewMatrix,8,0.008
projectionMatrix,7,0.007
draw,2656,2.656
clear,7,0.007
update,1927,1.927
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,2412,2.412
clear,26,0.026
update,1409,1.409
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,1893,1.893
clear,8,0.008
update,1878,1.878
modelMatrix,7,0.007
viewMatrix,9,0.009
projectionMatrix,8,0.008
draw,2642,2.642
clear,10,0.01
update,1754,1.754
modelMatrix,4,0.004
viewMatrix,6,0.006
projectionMatrix,6,0.006
draw,2312,2.312
clear,9,0.009
update,1358,1.358
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,1774,1.774
clear,8,0.008
update,2029,2.029
modelMatrix,8,0.008
viewMatrix,21,0.021
projectionMatrix,8,0.008
draw,2792,2.792
clear,7,0.007
update,1812,1.812
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,2252,2.252
clear,9,0.009
update,1345,1.345
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,1764,1.764
clear,9,0.009
update,1893,1.893
modelMatrix,4,0.004
viewMatrix,6,0.006
projectionMatrix,5,0.005
draw,2339,2.339
clear,7,0.007
update,1430,1.43
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,1850,1.85
clear,7,0.007
update,2042,2.042
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,2492,2.492
clear,8,0.008
update,1819,1.819
modelMatrix,4,0.004
viewMatrix,6,0.006
projectionMatrix,5,0.005
draw,2301,2.301
clear,8,0.008
update,1329,1.329
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,1760,1.76
clear,7,0.007
update,1801,1.801
modelMatrix,7,0.007
viewMatrix,9,0.009
projectionMatrix,7,0.007
draw,2506,2.506
clear,8,0.008
update,2096,2.096
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,2525,2.525
clear,8,0.008
update,1404,1.404
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,1818,1.818
clear,13,0.013
update,1905,1.905
modelMatrix,7,0.007
viewMatrix,9,0.009
projectionMatrix,8,0.008
draw,2588,2.588
clear,7,0.007
update,1899,1.899
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,2330,2.33
clear,8,0.008
update,1382,1.382
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,1808,1.808
clear,9,0.009
update,1846,1.846
modelMatrix,8,0.008
viewMatrix,10,0.01
projectionMatrix,7,0.007
draw,2540,2.54
clear,7,0.007
update,1946,1.946
modelMatrix,3,0.003
viewMatrix,4,0.004
projectionMatrix,4,0.004
draw,2352,2.352
clear,9,0.009
update,1355,1.355
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,1775,1.775
clear,8,0.008
update,1763,1.763
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,2198,2.198
clear,8,0.008
update,1367,1.367
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,1779,1.779
clear,9,0.009
update,2002,2.002
modelMatrix,4,0.004
viewMatrix,6,0.006
projectionMatrix,4,0.004
draw,2445,2.445
clear,42,0.042
update,1757,1.757
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,2179,2.179
clear,8,0.008
update,1381,1.381
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,1861,1.861
clear,9,0.009
update,2031,2.031
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,2461,2.461
clear,9,0.009
update,1864,1.864
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,2317,2.317
clear,6,0.006
update,1374,1.374
modelMatrix,4,0.004
viewMatrix,4,0.004
projectionMatrix,4,0.004
draw,1779,1.779
clear,6,0.006
update,2301,2.301
modelMatrix,6,0.006
viewMatrix,9,0.009
projectionMatrix,6,0.006
draw,2971,2.971
clear,8,0.008
update,1849,1.849
modelMatrix,4,0.004
viewMatrix,6,0.006
projectionMatrix,5,0.005
draw,2326,2.326
clear,8,0.008
update,1355,1.355
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,1769,1.769
clear,25,0.025
update,3938,3.938
modelMatrix,5,0.005
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,4498,4.498
clear,7,0.007
update,2201,2.201
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,2632,2.632
clear,6,0.006
update,2011,2.011
modelMatrix,7,0.007
viewMatrix,9,0.009
projectionMatrix,7,0.007
draw,2822,2.822
clear,7,0.007
update,1255,1.255
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,1708,1.708
clear,7,0.007
update,1709,1.709
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,2151,2.151
clear,21,0.021
update,1385,1.385
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,1807,1.807
clear,13,0.013
update,2099,2.099
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,6,0.006
draw,2597,2.597
clear,8,0.008
update,2117,2.117
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,2535,2.535
clear,8,0.008
update,1080,1.08
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,1527,1.527
clear,10,0.01
update,1349,1.349
modelMatrix,4,0.004
viewMatrix,6,0.006
projectionMatrix,5,0.005
draw,1768,1.768
clear,8,0.008
update,1806,1.806
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,3,0.003
draw,2319,2.319
clear,8,0.008
update,1257,1.257
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,1713,1.713
clear,6,0.006
update,1729,1.729
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,2200,2.2
clear,9,0.009
update,1350,1.35
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,1802,1.802
clear,8,0.008
update,1917,1.917
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,2387,2.387
clear,8,0.008
update,2125,2.125
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,2566,2.566
clear,24,0.024
update,1466,1.466
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,1907,1.907
clear,7,0.007
update,1933,1.933
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,2361,2.361
clear,8,0.008
update,1561,1.561
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,1984,1.984
clear,13,0.013
update,3922,3.922
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,4387,4.387
clear,7,0.007
update,2009,2.009
modelMatrix,4,0.004
viewMatrix,4,0.004
projectionMatrix,4,0.004
draw,2397,2.397
clear,9,0.009
update,1727,1.727
modelMatrix,4,0.004
viewMatrix,6,0.006
projectionMatrix,5,0.005
draw,2218,2.218
clear,7,0.007
update,1238,1.238
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,1651,1.651
clear,8,0.008
update,1310,1.31
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,1716,1.716
clear,8,0.008
update,1682,1.682
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,2115,2.115
clear,8,0.008
update,1490,1.49
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,1875,1.875
clear,9,0.009
update,1346,1.346
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,1787,1.787
clear,9,0.009
update,3818,3.818
modelMatrix,5,0.005
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,4295,4.295
clear,8,0.008
update,2030,2.03
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,2514,2.514
clear,8,0.008
update,1223,1.223
modelMatrix,4,0.004
viewMatrix,6,0.006
projectionMatrix,4,0.004
draw,1727,1.727
clear,7,0.007
update,1903,1.903
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,20,0.02
draw,2388,2.388
clear,8,0.008
update,1407,1.407
modelMatrix,4,0.004
viewMatrix,4,0.004
projectionMatrix,4,0.004
draw,1799,1.799
clear,15,0.015
update,1928,1.928
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,4,0.004
draw,2370,2.37
clear,9,0.009
update,1441,1.441
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,1860,1.86
clear,10,0.01
update,1890,1.89
modelMatrix,4,0.004
viewMatrix,6,0.006
projectionMatrix,4,0.004
draw,2330,2.33
clear,9,0.009
update,2068,2.068
modelMatrix,5,0.005
viewMatrix,6,0.006
projectionMatrix,5,0.005
draw,2520,2.52
clear,9,0.009
update,1416,1.416
modelMatrix,3,0.003
viewMatrix,5,0.005
projectionMatrix,5,0.005
draw,1835,1.835
clear,17,0.017
update,3973,3.973
modelMatrix,4,0.004
viewMatrix,5,0.005
projectionMatrix,4,0.004
