Renderer, 44, 0.044
init, 45528, 45.528
clear, 39, 0.039
update, 1376, 1.376
modelMatrix, 49, 0.049
viewMatrix, 19, 0.019
projectionMatrix, 12, 0.012
draw, 4911, 4.911
clear, 18, 0.018
update, 733, 0.733
modelMatrix, 4, 0.004
viewMatrix, 6, 0.006
projectionMatrix, 5, 0.005
draw, 1175, 1.175
clear, 10, 0.01
update, 720, 0.72
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 1150, 1.15
clear, 12, 0.012
update, 707, 0.707
modelMatrix, 3, 0.003
viewMatrix, 5, 0.005
projectionMatrix, 5, 0.005
draw, 1125, 1.125
clear, 9, 0.009
update, 575, 0.575
modelMatrix, 4, 0.004
viewMatrix, 6, 0.006
projectionMatrix, 5, 0.005
draw, 1009, 1.009
clear, 15, 0.015
update, 604, 0.604
modelMatrix, 5, 0.005
viewMatrix, 5, 0.005
projectionMatrix, 5, 0.005
draw, 1047, 1.047
clear, 10, 0.01
update, 599, 0.599
modelMatrix, 5, 0.005
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 1039, 1.039
clear, 9, 0.009
update, 625, 0.625
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 1015, 1.015
clear, 10, 0.01
update, 1094, 1.094
modelMatrix, 9, 0.009
viewMatrix, 19, 0.019
projectionMatrix, 12, 0.012
draw, 2509, 2.509
clear, 11, 0.011
update, 550, 0.55
modelMatrix, 4, 0.004
viewMatrix, 6, 0.006
projectionMatrix, 5, 0.005
draw, 961, 0.961
clear, 10, 0.01
update, 585, 0.585
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 966, 0.966
clear, 8, 0.008
update, 581, 0.581
modelMatrix, 3, 0.003
viewMatrix, 5, 0.005
projectionMatrix, 5, 0.005
draw, 982, 0.982
clear, 12, 0.012
update, 733, 0.733
modelMatrix, 4, 0.004
viewMatrix, 6, 0.006
projectionMatrix, 5, 0.005
draw, 1215, 1.215
clear, 14, 0.014
update, 5340, 5.34
modelMatrix, 5, 0.005
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 5803, 5.803
clear, 28, 0.028
update, 1499, 1.499
modelMatrix, 11, 0.011
viewMatrix, 6, 0.006
projectionMatrix, 8, 0.008
draw, 2211, 2.211
clear, 9, 0.009
update, 601, 0.601
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 5, 0.005
draw, 1056, 1.056
clear, 13, 0.013
update, 626, 0.626
modelMatrix, 3, 0.003
viewMatrix, 5, 0.005
projectionMatrix, 5, 0.005
draw, 1010, 1.01
clear, 39, 0.039
update, 865, 0.865
modelMatrix, 10, 0.01
viewMatrix, 14, 0.014
projectionMatrix, 8, 0.008
draw, 1689, 1.689
clear, 15, 0.015
update, 1361, 1.361
modelMatrix, 16, 0.016
viewMatrix, 17, 0.017
projectionMatrix, 11, 0.011
draw, 2342, 2.342
clear, 19, 0.019
update, 679, 0.679
modelMatrix, 5, 0.005
viewMatrix, 7, 0.007
projectionMatrix, 4, 0.004
draw, 1115, 1.115
clear, 27, 0.027
update, 31854, 31.854
modelMatrix, 25, 0.025
viewMatrix, 11, 0.011
projectionMatrix, 15, 0.015
draw, 32807, 32.807
clear, 10, 0.01
update, 19038, 19.038
modelMatrix, 13, 0.013
viewMatrix, 20, 0.02
projectionMatrix, 8, 0.008
draw, 19968, 19.968
clear, 9, 0.009
update, 15192, 15.192
modelMatrix, 4, 0.004
viewMatrix, 7, 0.007
projectionMatrix, 5, 0.005
draw, 15674, 15.674
clear, 13, 0.013
update, 17426, 17.426
modelMatrix, 7, 0.007
viewMatrix, 13, 0.013
projectionMatrix, 11, 0.011
draw, 18328, 18.328
clear, 12, 0.012
update, 16443, 16.443
modelMatrix, 11, 0.011
viewMatrix, 18, 0.018
projectionMatrix, 9, 0.009
draw, 17250, 17.25
clear, 11, 0.011
update, 3393, 3.393
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 3821, 3.821
clear, 17, 0.017
update, 3679, 3.679
modelMatrix, 11, 0.011
viewMatrix, 15, 0.015
projectionMatrix, 6, 0.006
draw, 4343, 4.343
clear, 9, 0.009
update, 834, 0.834
modelMatrix, 5, 0.005
viewMatrix, 6, 0.006
projectionMatrix, 4, 0.004
draw, 1324, 1.324
clear, 12, 0.012
update, 744, 0.744
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 1161, 1.161
clear, 14, 0.014
update, 560, 0.56
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 999, 0.999
clear, 9, 0.009
update, 613, 0.613
modelMatrix, 4, 0.004
viewMatrix, 6, 0.006
projectionMatrix, 5, 0.005
draw, 1024, 1.024
clear, 11, 0.011
update, 619, 0.619
modelMatrix, 3, 0.003
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 989, 0.989
clear, 17, 0.017
update, 1220, 1.22
modelMatrix, 11, 0.011
viewMatrix, 32, 0.032
projectionMatrix, 13, 0.013
draw, 2518, 2.518
clear, 11, 0.011
update, 586, 0.586
modelMatrix, 3, 0.003
viewMatrix, 5, 0.005
projectionMatrix, 5, 0.005
draw, 962, 0.962
clear, 9, 0.009
update, 545, 0.545
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 944, 0.944
clear, 9, 0.009
update, 599, 0.599
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 995, 0.995
clear, 7, 0.007
update, 598, 0.598
modelMatrix, 3, 0.003
viewMatrix, 4, 0.004
projectionMatrix, 4, 0.004
draw, 976, 0.976
clear, 9, 0.009
update, 549, 0.549
modelMatrix, 4, 0.004
viewMatrix, 6, 0.006
projectionMatrix, 4, 0.004
draw, 976, 0.976
clear, 22, 0.022
update, 630, 0.63
modelMatrix, 4, 0.004
viewMatrix, 6, 0.006
projectionMatrix, 5, 0.005
draw, 1105, 1.105
clear, 11, 0.011
update, 639, 0.639
modelMatrix, 3, 0.003
viewMatrix, 6, 0.006
projectionMatrix, 5, 0.005
draw, 1133, 1.133
clear, 8, 0.008
update, 550, 0.55
modelMatrix, 3, 0.003
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 942, 0.942
clear, 8, 0.008
update, 564, 0.564
modelMatrix, 3, 0.003
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 958, 0.958
clear, 7, 0.007
update, 614, 0.614
modelMatrix, 4, 0.004
viewMatrix, 4, 0.004
projectionMatrix, 4, 0.004
draw, 988, 0.988
clear, 8, 0.008
update, 556, 0.556
modelMatrix, 3, 0.003
viewMatrix, 7, 0.007
projectionMatrix, 5, 0.005
draw, 974, 0.974
clear, 9, 0.009
update, 570, 0.57
modelMatrix, 3, 0.003
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 943, 0.943
addParticle, 360, 0.36
clear, 8, 0.008
update, 810, 0.81
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 1232, 1.232
addParticle, 368, 0.368
clear, 6, 0.006
update, 948, 0.948
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 5, 0.005
draw, 1314, 1.314
addParticle, 387, 0.387
clear, 7, 0.007
update, 1186, 1.186
modelMatrix, 4, 0.004
viewMatrix, 7, 0.007
projectionMatrix, 4, 0.004
draw, 1642, 1.642
addParticle, 400, 0.4
clear, 12, 0.012
update, 1386, 1.386
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 1749, 1.749
addParticle, 362, 0.362
clear, 11, 0.011
update, 1581, 1.581
modelMatrix, 4, 0.004
viewMatrix, 4, 0.004
projectionMatrix, 5, 0.005
draw, 1972, 1.972
addParticle, 482, 0.482
clear, 29, 0.029
update, 1864, 1.864
modelMatrix, 4, 0.004
viewMatrix, 6, 0.006
projectionMatrix, 5, 0.005
draw, 2335, 2.335
addParticle, 363, 0.363
clear, 7, 0.007
update, 2176, 2.176
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 2581, 2.581
addParticle, 360, 0.36
clear, 12, 0.012
update, 2276, 2.276
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 5, 0.005
draw, 2723, 2.723
addParticle, 366, 0.366
clear, 7, 0.007
update, 2427, 2.427
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 2819, 2.819
addParticle, 375, 0.375
clear, 7, 0.007
update, 2834, 2.834
modelMatrix, 4, 0.004
viewMatrix, 6, 0.006
projectionMatrix, 4, 0.004
draw, 3246, 3.246
addParticle, 365, 0.365
clear, 11, 0.011
update, 3241, 3.241
modelMatrix, 10, 0.01
viewMatrix, 7, 0.007
projectionMatrix, 7, 0.007
draw, 3827, 3.827
addParticle, 372, 0.372
clear, 8, 0.008
update, 3245, 3.245
modelMatrix, 4, 0.004
viewMatrix, 9, 0.009
projectionMatrix, 5, 0.005
draw, 3824, 3.824
addParticle, 339, 0.339
clear, 7, 0.007
update, 3452, 3.452
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 3884, 3.884
addParticle, 346, 0.346
clear, 8, 0.008
update, 3618, 3.618
modelMatrix, 5, 0.005
viewMatrix, 7, 0.007
