Renderer, 49, 0.049
init, 5042, 5.042
clear, 55, 0.055
update, 855, 0.855
modelMatrix, 35, 0.035
viewMatrix, 11, 0.011
projectionMatrix, 9, 0.009
draw, 3827, 3.827
clear, 19, 0.019
update, 635, 0.635
modelMatrix, 4, 0.004
viewMatrix, 6, 0.006
projectionMatrix, 4, 0.004
draw, 1060, 1.06
clear, 16, 0.016
update, 590, 0.59
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 977, 0.977
clear, 9, 0.009
update, 559, 0.559
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 937, 0.937
clear, 12, 0.012
update, 1081, 1.081
modelMatrix, 11, 0.011
viewMatrix, 14, 0.014
projectionMatrix, 12, 0.012
draw, 2222, 2.222
clear, 10, 0.01
update, 561, 0.561
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 1026, 1.026
clear, 9, 0.009
update, 575, 0.575
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 7, 0.007
draw, 1073, 1.073
clear, 8, 0.008
update, 565, 0.565
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 5, 0.005
draw, 998, 0.998
clear, 11, 0.011
update, 767, 0.767
modelMatrix, 4, 0.004
viewMatrix, 7, 0.007
projectionMatrix, 6, 0.006
draw, 1287, 1.287
clear, 17, 0.017
update, 5550, 5.55
modelMatrix, 5, 0.005
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 6132, 6.132
clear, 10, 0.01
update, 513, 0.513
modelMatrix, 4, 0.004
viewMatrix, 6, 0.006
projectionMatrix, 4, 0.004
draw, 898, 0.898
clear, 8, 0.008
update, 599, 0.599
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 5, 0.005
draw, 958, 0.958
clear, 9, 0.009
update, 621, 0.621
modelMatrix, 4, 0.004
viewMatrix, 4, 0.004
projectionMatrix, 5, 0.005
draw, 1000, 1
clear, 28, 0.028
update, 765, 0.765
modelMatrix, 8, 0.008
viewMatrix, 9, 0.009
projectionMatrix, 5, 0.005
draw, 1419, 1.419
clear, 11, 0.011
update, 849, 0.849
modelMatrix, 6, 0.006
viewMatrix, 7, 0.007
projectionMatrix, 5, 0.005
draw, 1331, 1.331
clear, 19, 0.019
update, 8839, 8.839
modelMatrix, 15, 0.015
viewMatrix, 8, 0.008
projectionMatrix, 5, 0.005
draw, 9839, 9.839
clear, 17, 0.017
update, 23132, 23.132
modelMatrix, 9, 0.009
viewMatrix, 12, 0.012
projectionMatrix, 7, 0.007
draw, 23836, 23.836
clear, 11, 0.011
update, 22437, 22.437
modelMatrix, 17, 0.017
viewMatrix, 12, 0.012
projectionMatrix, 5, 0.005
draw, 23445, 23.445
clear, 14, 0.014
update, 15233, 15.233
modelMatrix, 10, 0.01
viewMatrix, 20, 0.02
projectionMatrix, 5, 0.005
draw, 16002, 16.002
clear, 13, 0.013
update, 20776, 20.776
modelMatrix, 26, 0.026
viewMatrix, 14, 0.014
projectionMatrix, 7, 0.007
draw, 21690, 21.69
clear, 10, 0.01
update, 16401, 16.401
modelMatrix, 11, 0.011
viewMatrix, 18, 0.018
projectionMatrix, 7, 0.007
draw, 17382, 17.382
clear, 11, 0.011
update, 2587, 2.587
modelMatrix, 3, 0.003
viewMatrix, 6, 0.006
projectionMatrix, 6, 0.006
draw, 3104, 3.104
clear, 9, 0.009
update, 543, 0.543
modelMatrix, 5, 0.005
viewMatrix, 6, 0.006
projectionMatrix, 5, 0.005
draw, 919, 0.919
clear, 10, 0.01
update, 595, 0.595
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 955, 0.955
clear, 9, 0.009
update, 550, 0.55
modelMatrix, 3, 0.003
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 946, 0.946
clear, 10, 0.01
update, 560, 0.56
modelMatrix, 3, 0.003
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 935, 0.935
clear, 7, 0.007
update, 632, 0.632
modelMatrix, 4, 0.004
viewMatrix, 5, 0.005
projectionMatrix, 4, 0.004
draw, 1144, 1.144
addParticle, 4342, 4.342
clear, 20, 0.02
update, 3512, 3.512
modelMatrix, 4, 0.004
viewMatrix, 6, 0.006
projectionMatrix, 4, 0.004
draw, 3935, 3.935
addParticle, 3693, 3.693
clear, 7, 0.007
update, 4416, 4.416
modelMatrix, 4, 0.004
viewMatrix, 6, 0.006
projectionMatrix, 5, 0.005
draw, 4921, 4.921
