Datastore::Init, 168, 0.168
MeshDatastore::Init, 70217, 70.217
ForceGrid::ForceGrid, 618, 0.618
TextureBuffer::TextureBuffer, 238, 0.238
Renderer::init, 390, 0.39
DebugRenderer::init, 63, 0.063
MeshRenderer::init, 1, 0.001
App::init, 710771, 710.771
ForceGrid::update, 27432, 27.432
ForceGrid::updateDebugLines, 3013, 3.013
DebugDatastore::beginDebug, 119, 0.119
EmitterManager::update, 2, 0.002
Datastore::copyData (single), 2, 0.002
Datastore::submitData (single), 256, 0.256
Datastore::Update, 604, 0.604
MeshDatastore::Update, 0, 0
Renderer::clear, 7, 0.007
TextureBuffer::getPointer, 1, 0.001
TextureBuffer::releasePointer, 1, 0.001
TextureBuffer::loadData, 619, 0.619
TextureBuffer::bind, 3, 0.003
Renderer::update, 18765, 18.765
Renderer::MVP, 22, 0.022
Renderer::draw, 27149, 27.149
DebugRenderer::draw, 4198, 4.198
GUILayer::render, 202, 0.202
App::run, 265019, 265.019
DebugDatastore::beginDebug, 0, 0
EmitterManager::update, 2, 0.002
ForceGrid::update, 24037, 24.037
ForceGrid::updateDebugLines, 1787, 1.787
Datastore::copyData (single), 8, 0.008
Datastore::submitData (single), 248, 0.248
Datastore::Update, 525, 0.525
MeshDatastore::Update, 0, 0
Renderer::clear, 7, 0.007
TextureBuffer::getPointer, 2, 0.002
TextureBuffer::releasePointer, 3, 0.003
TextureBuffer::loadData, 554, 0.554
TextureBuffer::bind, 5, 0.005
Renderer::update, 1282, 1.282
Renderer::MVP, 7, 0.007
Renderer::draw, 1781, 1.781
DebugRenderer::draw, 899, 0.899
GUILayer::render, 86, 0.086
App::run, 31443, 31.443
DebugDatastore::beginDebug, 111, 0.111
EmitterManager::update, 1, 0.001
ForceGrid::update, 20848, 20.848
ForceGrid::updateDebugLines, 2004, 2.004
Datastore::copyData (single), 2, 0.002
Datastore::submitData (single), 267, 0.267
Datastore::Update, 574, 0.574
MeshDatastore::Update, 0, 0
Renderer::clear, 5, 0.005
TextureBuffer::getPointer, 1, 0.001
TextureBuffer::releasePointer, 1, 0.001
TextureBuffer::loadData, 560, 0.56
TextureBuffer::bind, 4, 0.004
Renderer::update, 1291, 1.291
Renderer::MVP, 6, 0.006
Renderer::draw, 1772, 1.772
DebugRenderer::draw, 313, 0.313
GUILayer::render, 93, 0.093
App::run, 27380, 27.38
DebugDatastore::beginDebug, 151, 0.151
EmitterManager::update, 2, 0.002
ForceGrid::update, 20290, 20.29
ForceGrid::updateDebugLines, 1769, 1.769
Datastore::Update, 10, 0.01
MeshDatastore::Update, 0, 0
Renderer::clear, 6, 0.006
TextureBuffer::getPointer, 3, 0.003
TextureBuffer::releasePointer, 3, 0.003
TextureBuffer::loadData, 560, 0.56
TextureBuffer::bind, 4, 0.004
Renderer::update, 1261, 1.261
Renderer::MVP, 5, 0.005
Renderer::draw, 1787, 1.787
DebugRenderer::draw, 352, 0.352
GUILayer::render, 88, 0.088
App::run, 25946, 25.946
DebugDatastore::beginDebug, 104, 0.104
EmitterManager::update, 2, 0.002
ForceGrid::update, 19849, 19.849
ForceGrid::updateDebugLines, 1861, 1.861
Datastore::Update, 0, 0
MeshDatastore::Update, 1, 0.001
Renderer::clear, 15, 0.015
TextureBuffer::getPointer, 4, 0.004
TextureBuffer::releasePointer, 4, 0.004
TextureBuffer::loadData, 549, 0.549
TextureBuffer::bind, 4, 0.004
Renderer::update, 1265, 1.265
Renderer::MVP, 5, 0.005
Renderer::draw, 1774, 1.774
DebugRenderer::draw, 254, 0.254
GUILayer::render, 80, 0.08
App::run, 25497, 25.497
DebugDatastore::beginDebug, 105, 0.105
EmitterManager::update, 1, 0.001
ForceGrid::update, 20355, 20.355
ForceGrid::updateDebugLines, 1768, 1.768
Datastore::Update, 1, 0.001
MeshDatastore::Update, 0, 0
Renderer::clear, 8, 0.008
TextureBuffer::getPointer, 2, 0.002
TextureBuffer::releasePointer, 5, 0.005
TextureBuffer::loadData, 526, 0.526
TextureBuffer::bind, 5, 0.005
Renderer::update, 1272, 1.272
Renderer::MVP, 6, 0.006
Renderer::draw, 1729, 1.729
DebugRenderer::draw, 282, 0.282
GUILayer::render, 90, 0.09
App::run, 25941, 25.941
DebugDatastore::beginDebug, 106, 0.106
EmitterManager::update, 2, 0.002
ForceGrid::update, 19363, 19.363
ForceGrid::updateDebugLines, 1869, 1.869
Datastore::copyData (single), 8, 0.008
Datastore::submitData (single), 191, 0.191
Datastore::Update, 452, 0.452
MeshDatastore::Update, 0, 0
Renderer::clear, 6, 0.006
TextureBuffer::getPointer, 3, 0.003
TextureBuffer::releasePointer, 3, 0.003
TextureBuffer::loadData, 571, 0.571
TextureBuffer::bind, 3, 0.003
Renderer::update, 1291, 1.291
Renderer::MVP, 6, 0.006
Renderer::draw, 1708, 1.708
DebugRenderer::draw, 310, 0.31
GUILayer::render, 92, 0.092
App::run, 25588, 25.588
DebugDatastore::beginDebug, 123, 0.123
EmitterManager::update, 2, 0.002
ForceGrid::update, 21240, 21.24
ForceGrid::updateDebugLines, 1790, 1.79
Datastore::copyData (single), 3, 0.003
Datastore::submitData (single), 266, 0.266
Datastore::Update, 488, 0.488
MeshDatastore::Update, 0, 0
Renderer::clear, 7, 0.007
TextureBuffer::getPointer, 1, 0.001
TextureBuffer::releasePointer, 2, 0.002
TextureBuffer::loadData, 505, 0.505
TextureBuffer::bind, 5, 0.005
Renderer::update, 1217, 1.217
Renderer::MVP, 5, 0.005
Renderer::draw, 1677, 1.677
DebugRenderer::draw, 278, 0.278
GUILayer::render, 85, 0.085
App::run, 27411, 27.411
DebugDatastore::beginDebug, 152, 0.152
EmitterManager::update, 2, 0.002
ForceGrid::update, 19902, 19.902
ForceGrid::updateDebugLines, 1786, 1.786
Datastore::Update, 12, 0.012
MeshDatastore::Update, 1, 0.001
Renderer::clear, 6, 0.006
TextureBuffer::getPointer, 3, 0.003
TextureBuffer::releasePointer, 4, 0.004
TextureBuffer::loadData, 552, 0.552
